1,Vertebrae,Single - Vertebrae,Channo,2:58,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Vertebrae.wav,3,2,5
2,Africa,TOTO IV,TOTO,4:54,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Africa.wav,2
3,The Man Who Sold The World,MTV Unplugged in New York,Nirvana,4:21,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\The Man Who Sold The World.wav,2
4,Nocturne no 20,Classical Music,Spilzman,3:39,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Chopin Nocturne No 20.wav
5,Boulevard Of Broken Dreams,American Idiot,Green Day,4:21,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Boulevard of Broken Dreams.wav,2
6,Variations on a theme of Paganini,Classical music,Isaak Berkovich,6:22,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Paganini Variations.wav,5
7,Thunderstruck,The Razors Edge,AC/DC,4:52,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Thunderstruck.wav,2,3
8,Arthur Composition,Mia's compositions,Mia,2:55,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Arthur Composition.wav,4,5
9,Nocturne no 20,Classical Music,Spilzman,3:39,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Chopin Nocturne No 20.wav,5
12,Boulevard Of Broken Dreams,American Idiot,Green Day,4:21,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Boulevard of Broken Dreams.wav,2,3
16,The Man Who Sold The World,MTV Unplugged in New York,Nirvana,4:21,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\The Man Who Sold The World.wav,2
22,Patience (piano),Mia's compositions,Mia,3:50,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Patience_Chris Cornell_original piano.wav,4
23,Simple man (piano),Mia's compositions,Mia,4:20,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\Simple man_Lynyrd Skynyrd.wav,4
24,All of me (piano),Mia's compositions,Mia,C:\Users\Maria\Desktop\FinalMusicPlayer\MusicPlayer\AllSongs\All of me_John Legend.wav,4,4
